code,malepop,femalepop,totalpop,setai,inc_mov_dom,inc_mov_intl,inc_born,inc_other,dec_mov_dom,dec_mov_intl,dec_deaths,dec_other
242152,20563,23547,44110,22435,920,267,144,20,1294,138,912,11
242161,41679,42924,84603,40545,2171,870,394,19,2861,515,1348,116
243001,3067,2808,5875,2611,251,107,19,3,292,48,82,22
243035,3067,2808,5875,2611,251,107,19,3,292,48,82,22
243205,12675,13062,25737,10330,699,108,170,6,691,90,275,28
243248,12675,13062,25737,10330,699,108,170,6,691,90,275,28
243400,33864,33746,67610,29271,2768,352,445,18,2667,253,748,69
243418,20238,20520,40758,17391,1238,210,228,6,1286,146,505,43
243434,5507,5600,11107,4425,498,39,72,9,439,26,106,5
243442,8119,7626,15745,7455,1032,103,145,3,942,81,137,21
244406,21290,23181,44471,19472,1124,114,175,11,1213,110,717,8
244414,6541,7096,13637,5790,332,49,43,3,342,38,226,1
244422,10836,11794,22630,9656,583,58,106,7,610,60,316,5
244431,3913,4291,8204,4026,209,7,26,1,261,12,175,2
244601,19241,21066,40307,18454,890,87,133,11,1024,93,832,1
244619,7244,7791,15035,6000,451,23,74,6,400,41,184,1
244708,3658,3898,7556,3160,145,27,26,0,187,23,140,0
244716,3424,3803,7227,3822,146,19,9,2,156,7,181,0
244724,4915,5574,10489,5472,148,18,24,3,281,22,327,0
245402,6524,7235,13759,7598,311,76,41,8,397,41,356,14
245437,6524,7235,13759,7598,311,76,41,8,397,41,356,14
245607,8418,9511,17929,9196,470,65,75,2,538,42,348,1
245615,3678,4131,7809,4048,241,9,29,1,225,14,169,1
245623,4740,5380,10120,5148,229,56,46,1,313,28,179,0
250007,693864,711382,1405246,623703,49616,7465,9090,676,50234,4986,15572,1343
252018,165273,178327,343600,158664,11615,1032,2194,196,10605,846,3741,161
252026,55304,55574,110878,51461,4315,1058,686,47,4379,550,1232,185
252034,54907,57387,112294,47770,2169,534,632,38,3056,403,1453,107
252042,40293,41649,81942,36085,3000,435,562,31,2688,276,957,40
252069,70416,70099,140515,64735,6996,840,1085,57,6529,615,1160,98
252077,42250,43631,85881,35421,3013,415,657,20,3014,265,778,23
252085,35063,35349,70412,30213,3178,287,686,83,3535,218,489,49
252093,44122,43607,87729,38098,2646,542,505,42,2871,417,1110,101
252107,25399,25208,50607,21899,2134,219,328,15,1810,193,539,258
252115,28098,25967,54065,25160,2326,623,303,28,2576,339,607,75
252123,22014,23176,45190,20961,1264,163,210,17,1398,80,750,19
252131,55689,55660,111349,47511,3668,639,682,58,3906,395,1327,134
252140,18025,18903,36928,15048,919,180,192,11,1091,126,511,21
253804,16249,15692,31941,13339,1024,297,161,14,1296,121,399,33
253839,10453,10249,20702,8842,681,234,105,12,813,83,267,28
253847,5796,5443,11239,4497,343,63,56,2,483,38,132,5
254207,10567,10475,21042,8545,804,128,132,12,887,101,215,25
254258,10567,10475,21042,8545,804,128,132,12,887,101,215,25
254401,10195,10678,20873,8793,545,73,75,7,593,41,304,14
254410,3500,3617,7117,3145,226,36,28,6,268,21,83,3
254428,3117,3293,6410,2693,143,15,16,1,158,9,106,3
254436,3578,3768,7346,2955,176,22,31,0,167,11,115,8
260002,1182339,1289674,2472013,1262791,105397,19582,13290,1648,111184,10277,31739,2779
261009,649681,724206,1373887,743206,71367,15198,7294,1002,73566,7282,17337,2318
261017,50055,56445,106500,55376,4651,1239,481,90,5013,723,1444,151
261025,34523,40785,75308,44121,5291,1634,290,27,5369,680,983,237
261033,71047,79457,150504,81076,7446,2628,647,91,7734,1699,1876,479
261041,48182,57754,105936,61220,7625,1590,582,76,7133,704,1163,206
261050,14883,18110,32993,20269,2314,633,106,23,2383,266,492,87
261068,35819,41672,77491,46982,6666,1375,415,92,6679,565,866,220
261076,49947,50982,100929,55972,7104,903,735,60,6662,366,1187,174
261084,89893,100697,190590,99972,8368,1543,1067,195,8781,703,2471,199
261092,127863,137405,265268,141929,11017,2684,1442,168,12314,994,3409,331
261106,59409,66193,125602,67622,5128,556,695,104,5426,234,1740,128
261114,68060,74706,142766,68667,5757,413,834,76,6072,348,1706,106
262013,37074,37466,74540,36891,2559,260,520,23,2913,183,1066,45
262021,37402,37920,75322,38949,2810,39,403,305,3640,100,1209,18
262030,14922,16150,31072,15695,916,215,105,8,956,137,602,3
262048,86460,93122,179582,86271,5479,698,943,61,5990,325,2140,87
262056,7568,8398,15966,8132,428,66,78,13,533,37,372,2
262064,41820,44389,86209,40271,2180,345,474,28,2351,177,1025,30
262072,35291,38030,73321,35496,1924,179,397,28,2121,139,964,14
262081,26935,29251,56186,25789,1958,128,330,39,2074,122,631,13
262099,39779,42439,82218,38114,3101,363,571,8,3017,266,845,5
262102,33377,35221,68598,34238,2156,550,328,26,2333,416,849,83
262111,35193,36818,72011,32022,2878,483,421,32,2666,305,654,43
262129,24074,25968,50042,22922,878,135,242,2,1229,69,937,11
262137,14366,15165,29531,14242,910,104,120,11,1103,58,559,17
262145,38196,41143,79339,33456,2261,261,458,36,2493,259,738,15
263001,8013,8620,16633,7401,637,21,170,8,650,25,170,9
263036,8013,8620,16633,7401,637,21,170,8,650,25,170,9
263206,7559,7672,15231,7465,565,255,72,1,682,141,212,14
263222,7559,7672,15231,7465,565,255,72,1,682,141,212,14
263401,7830,7816,15646,7399,507,116,75,5,524,91,232,28
263435,3419,3539,6958,3499,225,40,36,1,184,31,110,8
263443,4411,4277,8688,3900,282,76,39,4,340,60,122,20
263605,20637,22395,43032,19002,1142,98,165,7,1373,110,494,8
263648,510,556,1066,561,17,0,1,0,35,0,33,0
263656,1596,1781,3377,1646,70,0,5,0,119,0,78,0
263664,17397,18813,36210,15602,1002,94,156,6,1159,106,319,7
263672,1134,1245,2379,1193,53,4,3,1,60,4,64,1
264008,5941,6443,12384,6095,290,43,35,4,397,24,299,10
264075,5941,6443,12384,6095,290,43,35,4,397,24,299,10
264601,10221,11042,21263,9735,451,25,89,1,573,11,404,6
264636,913,948,1861,870,50,3,7,1,60,1,51,2
264652,9308,10094,19402,8865,401,22,82,0,513,10,353,4
270008,4216807,4555154,8771961,4565594,428064,66215,55381,4371,411406,25639,109990,10743
271004,1345204,1433713,2778917,1622994,203189,35589,18317,1769,185885,9446,34949,7309
271021,51196,55676,106872,61402,7730,743,719,40,6850,305,1177,200
271039,38999,43016,82015,47135,6887,553,681,50,6093,233,680,135
271047,31372,32783,64155,35318,3225,497,371,31,3534,223,839,133
271063,52076,58750,110826,70076,12200,1793,805,71,10853,501,702,327
271071,39285,40962,80247,46769,5332,1197,431,48,4528,305,1044,246
271080,30432,31458,61890,34537,3095,645,304,21,2548,206,999,88
271098,39100,45626,84726,45286,7249,940,622,77,5805,298,709,231
271110,40359,38673,79032,59998,12107,2524,516,57,10900,588,784,674
271136,48406,49980,98386,54529,5975,1397,615,46,5764,398,1178,217
271144,84938,86906,171844,104503,11576,1807,1158,94,11088,572,2220,447
271152,40906,45996,86902,51955,7437,1646,574,66,6708,310,1013,268
271161,61318,65566,126884,76280,8583,3081,777,222,8717,679,2043,716
271179,43478,47135,90613,51024,5577,606,590,33,4646,170,1377,111
271187,80942,89255,170197,91153,9864,1121,1169,53,8726,356,2014,249
271195,52202,60415,112617,58619,7206,1704,711,73,6721,347,1255,213
271209,71292,80968,152260,84329,8823,1436,1000,64,8059,416,2147,227
271217,63403,69888,133291,73595,8301,1690,884,91,7269,321,2134,174
271225,60589,44562,105151,74454,8578,2727,464,103,7924,485,2922,675
271233,91760,92628,184388,113013,15634,2155,1230,121,14298,582,1923,489
271241,53052,58564,111616,53524,4892,364,825,38,4905,178,1230,70
271250,56577,60652,117229,65350,5566,882,566,66,5055,364,1711,227
271268,89051,98597,187648,101502,8380,1788,1102,111,8738,424,2993,294
271276,68656,72701,141357,89933,14369,1558,1188,99,12800,545,1104,353
271284,55815,62956,118771,78710,14603,2735,1015,94,13356,640,751,545
271403,388259,423734,811993,404180,33787,3256,5032,279,34607,1526,10666,603
271411,72319,74922,147241,81374,8239,1327,1011,50,8236,360,2007,183
271420,57194,60856,118050,57025,4358,330,712,34,4661,240,1536,59
271438,40914,45080,85994,41099,3599,425,572,22,3238,129,1183,36
271446,64954,69922,134876,65412,5372,296,831,38,5318,231,1713,79
271454,61122,71055,132177,64432,3209,326,504,44,4058,185,1945,87
271462,73652,82789,156441,77323,7727,404,1231,63,7749,280,1767,100
271471,18104,19110,37214,17515,1283,148,171,28,1347,101,515,59
272027,89302,97294,186596,90600,4984,707,1200,99,5229,531,2601,35
272035,192466,213489,405955,199010,17757,2474,2798,108,17949,1266,4608,195
272043,48740,53896,102636,50360,4658,686,652,41,4584,582,1147,57
272051,183107,201399,384506,186886,21127,2406,2864,236,19235,1564,3764,245
272060,34615,38147,72762,35757,2683,331,495,26,2854,151,876,37
272078,164274,181315,345589,166053,10686,867,2179,174,10280,680,4206,123
272086,39253,42167,81420,38640,2160,706,401,45,3056,177,1084,75
272094,68333,72590,140923,74266,6216,503,997,75,5657,262,2081,111
272108,187474,204854,392328,186991,12071,2078,2296,271,11983,1670,4707,249
272116,137728,148314,286042,134643,11706,1202,2155,134,11042,951,2816,61
272124,123560,135598,259158,128591,7644,977,1612,95,7712,573,3490,147
272132,47696,51622,99318,50548,4526,2031,621,49,5352,284,1219,91
272141,49823,55892,105715,52209,3097,708,491,79,4168,314,1465,55
272159,108051,116327,224378,113379,7400,567,1325,39,7131,388,3080,89
272167,46017,51895,97912,47635,2369,361,373,26,2676,264,1485,18
272175,55767,60492,116259,59262,4053,476,717,50,3627,282,1735,62
272183,56280,59407,115687,58406,4128,393,662,60,4108,286,1477,61
272191,88084,94397,182481,83064,5681,635,1110,48,5340,335,2049,110
272205,66685,72842,139527,64031,5898,816,778,62,5265,672,1350,58
272213,31928,34572,66500,32852,2284,356,361,23,2304,258,860,54
272221,51000,56406,107406,52022,3525,383,617,63,3480,313,1567,35
272230,57161,59018,116179,64415,4840,697,649,56,4993,303,1823,83
272248,42625,43719,86344,43319,4242,493,716,36,4202,277,969,46
272256,26581,29387,55968,26545,1970,134,342,17,2182,73,709,12
272264,29612,32692,62304,30278,2332,266,346,29,2421,112,816,20
272272,232134,245566,477700,251356,18072,2989,2835,231,16793,1171,6442,560
272281,27993,30152,58145,26723,1589,928,328,13,2601,91,780,30
272299,26095,27654,53749,24974,1690,171,322,34,2038,117,653,15
272302,37066,40125,77191,34473,2553,188,485,34,2352,123,853,13
272311,27087,30659,57746,26447,1847,102,332,20,1771,87,718,10
272329,23862,26218,50080,24170,1160,144,178,13,1425,103,664,11
273007,15195,17052,32247,14299,1549,45,232,3,878,52,329,4
273015,15195,17052,32247,14299,1549,45,232,3,878,52,329,4
273201,12812,13932,26744,13149,634,94,69,8,855,72,437,5
273210,8486,9318,17804,8615,378,82,45,3,543,59,283,2
273228,4326,4614,8940,4534,256,12,24,5,312,13,154,3
273406,7896,8421,16317,7959,493,58,100,5,619,47,230,16
273414,7896,8421,16317,7959,493,58,100,5,619,47,230,16
273601,31470,33853,65323,30541,2565,1310,279,12,3705,164,817,20
273619,20510,22034,42544,18907,1111,124,189,5,1178,81,469,11
273627,4265,4219,8484,4258,1132,71,50,2,1105,57,99,3
273660,6695,7600,14295,7376,322,1115,40,5,1422,26,249,6
273805,15572,16344,31916,14567,899,88,115,9,1047,72,468,18
273813,6221,6452,12673,5638,344,57,53,6,389,42,164,5
273821,7142,7414,14556,6683,431,27,49,3,516,29,211,13
273830,2209,2478,4687,2246,124,4,13,0,142,1,93,0
280003,2579265,2814342,5393607,2630792,190816,27947,31359,1352,198647,14572,68447,3064
281000,706589,786954,1493543,780144,68093,11417,8200,302,70134,4833,18457,1470
281018,98267,112155,210422,104488,10333,1773,1228,34,10012,1188,2157,182
281026,61621,70459,132080,69684,7048,1026,816,36,6643,510,1513,197
281051,53918,56309,110227,68415,8153,1591,665,36,7653,314,1570,223
281069,45650,49196,94846,56626,5004,1343,480,45,5496,191,1542,146
281077,71836,83092,154928,79443,5481,476,876,23,5843,323,2123,77
281085,98736,112043,210779,104402,6949,754,1107,20,7422,472,2807,64
281093,98977,109137,208114,100265,6165,876,1056,22,6869,394,2730,77
281107,65633,75128,140761,87751,11837,2772,896,64,12143,873,1464,398
281115,111951,119435,231386,109070,7123,806,1076,22,8053,568,2551,106
282014,253726,269455,523181,249624,13577,2368,3360,148,14322,1117,6528,189
282022,222025,235483,457508,244642,18286,1910,3210,199,16815,914,6149,265
282031,148112,159123,307235,144968,11141,771,2562,53,9757,698,3516,81
282049,225922,254896,480818,230059,18393,2011,3249,168,19005,1387,4976,229
282057,19455,21312,40767,20334,1324,286,208,7,1616,79,695,7
282065,42298,51709,94007,45418,3782,604,462,13,4121,407,1083,23
282073,96757,103527,200284,94192,7085,655,1243,56,7424,344,2292,78
