code,totalpop,malepop,femalepop
04101,316317,152822,163495
04102,194225,94348,99877
04103,142988,70241,72747
04104,238052,114061,123991
04105,205369,98268,107101
04202,128827,62308,66519
04203,49765,23694,26071
04205,54125,26058,28067
04206,29477,14388,15089
04207,78737,38491,40246
04208,25448,12603,12845
04209,61280,30457,30823
04211,42283,20801,21482
04212,69264,33826,35438
04213,58190,28253,29937
04214,37146,18079,19067
04215,118567,58339,60228
04216,51729,25160,26569
04301,10010,4884,5126
04302,1138,559,579
04321,22927,11284,11643
04322,9527,4764,4763
04323,36755,18525,18230
04324,7499,3717,3782
04341,11011,5515,5496
04361,31972,15692,16280
04362,11207,5524,5683
04401,12305,5943,6362
04404,16791,8276,8515
04406,34830,16935,17895
04421,28275,14685,13590
04422,7147,3555,3592
04424,5426,2721,2705
04444,5985,2899,3086
04445,19902,9847,10055
04501,13821,6793,7028
04505,22162,10785,11377
04581,5916,3047,2869
04606,10845,5288,5557
05000,882100,417188,464912
05201,293588,138328,155260
05202,45494,21082,24412
05203,77559,36780,40779
05204,63256,29868,33388
05206,21600,10227,11373
05207,37448,18057,19391
05209,25640,12175,13465
05210,69212,33782,35430
05211,30257,14265,15992
05212,71092,33100,37992
05213,26459,12496,13963
05214,21181,10281,10900
05215,21666,9987,11679
05303,4213,1980,2233
05327,1705,836,869
05346,2525,1214,1311
05348,13140,6043,7097
05349,5635,2647,2988
05361,7255,3415,3840
05363,4954,2243,2711
05366,4013,1869,2144
05368,2825,1388,1437
05434,16810,7934,8876
05463,12280,5955,6325
05464,2293,1236,1057
06000,993127,482096,511031
06201,235685,113187,122498
06202,76114,37835,38279
06203,113149,54625,58524
06204,92122,44347,47775
06205,31653,15180,16473
06206,38176,18578,19598
06207,26753,12825,13928
06208,20212,9904,10308
06209,24580,12120,12460
06210,59773,29076,30697
06211,47405,23409,23996
06212,12796,6301,6495
06213,28066,13505,14561
06301,12888,6261,6627
06302,10017,4913,5104
06321,16192,7867,8325
06322,4251,2069,2182
06323,5453,2717,2736
06324,6695,3352,3343
06341,5563,2771,2792
06361,4408,2165,2243
06362,6984,3413,3571
06363,4480,2188,2292
06364,6135,2942,3193
06365,2572,1264,1308
06366,3417,1664,1753
06367,3554,1684,1870
06381,20417,10047,10370
06382,12953,6348,6605
06401,6138,3128,3010
06402,11630,5753,5877
06403,5871,2883,2988
06426,7147,3488,3659
06428,18356,8802,9554
06461,11522,5485,6037
07000,1711937,841458,870479
07201,265803,129062,136741
07202,109015,52325,56690
07203,313125,154281,158844
07204,306495,149510,156985
07205,55388,27650,27738
07207,71122,34862,36260
07208,41739,20108,21631
07209,31883,16008,15875
07210,49291,24221,25070
07211,31836,15795,16041
07212,54128,27190,26938
07213,54134,26372,27762
07214,29641,14591,15050
07301,10705,5204,5501
07303,7706,3679,4027
07308,10847,5365,5482
07322,8942,4430,4512
07342,12017,5909,6108
07344,4823,2426,2397
07362,4464,2220,2244
07364,475,240,235
07367,3467,1734,1733
07368,12603,6235,6368
07402,2184,1103,1081
07405,5063,2486,2577
07407,3033,1490,1543
07408,11964,5863,6101
07421,13578,6571,7007
07422,2834,1365,1469
07423,2611,1309,1302
07444,1217,617,600
07445,1634,802,832
07446,1067,526,541
07447,17292,8309,8983
07461,20859,10640,10219
07464,5825,2893,2932
07465,4504,2214,2290
07466,16468,8132,8336
07481,11981,5911,6070
07482,4741,2319,2422
07483,7416,3657,3759
07484,2628,1335,1293
07501,13253,6680,6573
07502,5702,2839,2863
07503,5201,2611,2590
07504,5423,2710,2713
07505,4144,2067,2077
07521,15818,7807,8011
07522,8334,4136,4198
07541,4783,2783,2000
07542,4543,2703,1840
07543,2890,1871,1019
07544,1705,853,852
07545,1534,1144,390
07546,211,136,75
07547,2573,1505,1068
07548,419,235,184
07561,7483,3726,3757
07564,1373,693,680
08000,2791207,1396150,1395057
08201,265773,130296,135477
08202,158763,79105,79658
08203,141588,70824,70764
08204,136308,68456,67852
08205,67416,33419,33997
08207,48173,24307,23866
08208,73931,36485,37446
08210,40785,20674,20111
08211,57983,29203,28780
08212,43813,21437,22376
08214,25028,12457,12571
08215,38436,19192,19244
08216,71510,35252,36258
08217,103461,50610,52851
08219,82524,40515,42009
08220,268991,136158,132833
08221,151721,76955,74766
08222,63997,32637,31360
08223,25141,12502,12639
08224,70192,34850,35342
08225,35735,17755,17980
08226,51531,25072,26459
08227,94838,47063,47775
08228,51344,26636,24708
08229,35390,17800,17590
08230,38413,19491,18922
08231,35207,17479,17728
08232,93286,48126,45160
08233,29217,14718,14499
08234,43386,22308,21078
08235,52070,26132,25938
08236,46754,23336,23418
08302,29438,14580,14858
08309,14456,7131,7325
08310,16363,8081,8282
08341,37806,19263,18543
08364,13706,6782,6924
08442,13542,6953,6589
08443,49689,24782,24907
08447,7156,3519,3637
